"ID","Abeja","especies","genero","Familia","DIT","Grado","Grado relativo","z_Grado"
"M_005","Anthophora.simillima_005","Anthophora.simillima","Anthophora","Apidae",NA,11,0.297297297297297,0.670493403031508
"M_005","Bombus.rufocinctus_005","Bombus.rufocinctus","Bombus","Apidae",NA,12,0.324324324324324,0.804592083637809
"M_005","Anthophora.smithi_005","Anthophora.smithi","Anthophora","Apidae",NA,3,0.0810810810810811,-0.402296041818905
"M_005","Halictus.sp2_005","Halictus.sp2","Halictus","Halictidae",1.49,8,0.216216216216216,0.268197361212603
"M_005","Halictus.sp3_005","Halictus.sp3","Halictus","Halictidae",1.49,11,0.297297297297297,0.670493403031508
"M_005","Ceratina.sp1_005","Ceratina.sp1","Ceratina","Apidae",1.5,3,0.0810810810810811,-0.402296041818905
"M_005","Colletes.sieverti_005","Colletes.sieverti","Colletes","Colletidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Colletes.sp1_005","Colletes.sp1","Colletes","Colletidae",2.9,1,0.027027027027027,-0.670493403031508
"M_005","Megachile.texana_005","Megachile.texana","Megachile","Megachilidae",3.65,2,0.0540540540540541,-0.536394722425206
"M_005","Melissodes.fremonti_005","Melissodes.fremonti","Melissodes","Apidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Andrena.vicina_005","Andrena.vicina","Andrena","Andrenidae",2.54,10,0.27027027027027,0.536394722425206
"M_005","Melissodes.sp1_005","Melissodes.sp1","Melissodes","Apidae",2.65,1,0.027027027027027,-0.670493403031508
"M_005","Megachile.vidua_005","Megachile.vidua","Megachile","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Andrena.washingtoni_005","Andrena.washingtoni","Andrena","Andrenidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Megachile.wootoni calogaster_005","Megachile.wootoni.calogaster","Megachile","Megachilidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Megachile.wootoni_005","Megachile.wootoni","Megachile","Megachilidae",NA,12,0.324324324324324,0.804592083637809
"M_005","Osmia.wardiana_005","Osmia.wardiana","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_006","Andrena.haemorrhoa_006","Andrena.haemorrhoa","Andrena","Andrenidae",2.54,3,0.3,-0.174504949503245
"M_006","Lasioglossum.calceatum_006","Lasioglossum.calceatum","Lasioglossum","Halictidae",1.78,1,0.1,-0.772807633514369
"M_006","Bombus.hortorum_006","Bombus.hortorum","Bombus","Apidae",4.74,5,0.5,0.42379773450788
