EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
EM01903,,7/11/18,2018,7,192,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile frigida,female,,1
EM01909,,7/11/18,2018,7,192,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01934,,7/20/18,2018,7,201,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Melissodes confusus,female,,1
EM01947,,7/25/18,2018,7,206,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01953,,7/25/18,2018,7,206,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01956,,7/25/18,2018,7,206,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,male,,1
EM01946,,7/25/18,2018,7,206,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM01958,,7/25/18,2018,7,206,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM01950,,7/25/18,2018,7,206,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM02169,,7/30/19,2019,7,211,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,med bee all black,,1
,,7/30/19,2019,7,211,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,same as EM02169,,1
,,7/30/19,2019,7,211,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,same as EM02169,,1
,,7/30/19,2019,7,211,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,same as EM02169,,1
EM02149,,9/2/19,2019,9,245,Elk M.,5,SYMPOR,Symphyotrichum porteri,Smooth White Aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,det. JR,,1
,,8/6/19,2019,8,218,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,male,,1
,,8/6/19,2019,8,218,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus mixtus,,,1
,,8/6/19,2019,8,218,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
,,8/6/19,2019,8,218,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
,,8/11/19,2019,8,223,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Osmia bucephala,female,,1
,,8/11/19,2019,8,223,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
