"ID","plantas"
"M_015","Calendula.arvensis"
"M_015","Campanula.drabifolia"
"M_015","Capparis.ovata"
"M_015","Capsella.bursa-pastoris"
"M_015","Cardaria.draba"
"M_015","Carduus.pycnocephalus"
"M_015","Centaurea.orphanidea"
"M_015","Centaurea.raphanina"
"M_015","Chamomilla.recutita"
"M_015","Chondrilla.juncea"
"M_015","Chondrilla.ramosissima"
"M_015","Chrysanthemum.coronarium"
"M_015","Cistus.parviflorus"
"M_015","Cistus.salvifolius"
"M_015","Convolvulus.althaeoides"
"M_015","Convolvulus.arvensis"
"M_015","Convolvulus.cantabrica"
"M_015","Crocus.cancellatus"
"M_015","Crocus.laevigatus"
"M_015","Crupina.crupinastrum"
"M_015","Cyclamen.graecum"
"M_015","Daucus.guttatus"
"M_015","Delphinium.peregrinum"
"M_015","Dittrichia.graveolens"
"M_015","Ebenus.sibthorpii"
"M_015","Ecballium.elaterium"
"M_015","Echinops.microcephalus"
"M_015","Echium.angustifolium"
"M_015","Erica.manipuliflora"
"M_015","Erodium.cicutarium"
"M_015","Erodium.malacoides"
"M_015","Eruca.vesicaria"
"M_015","Eryngium.campestre"
"M_015","Euphorbia.acanthothamnos"
"M_015","Fritillaria.graeca"
"M_015","Fumana.arabica"
"M_015","Fumana.thymifolia"
"M_015","Fumaria.amarysia"
"M_015","Gagea.granatelli"
"M_015","Geranium.rotundifolium"
"M_015","Globularia.alypum"
"M_015","Helichrysum.stoechas"
"M_015","Heliotropium.dolosum"
"M_015","Heliotropium.europaeum"
"M_015","Heliotropium.hirsutissimum"
"M_015","Hirschfeldia.incana"
"M_015","Hymenocarpus.circinnatus"
"M_015","Hypericum.empetrifolium"
"M_015","Hypericum.triquetrifolium"
"M_015","Hypochoeris.achyrophorus"
"M_015","Iris.pumila"
"M_015","Lamium.amplexicaule"
"M_015","Lathyrus.cicera"
"M_015","Linum.strictum"
"M_015","Malcolmia.chia"
"M_015","Malva.sylvestris"
"M_015","Medicago.lupulina"
"M_015","Muscari.commutatum"
"M_015","Muscari.comosum"
"M_015","Muscari.neglectum"
"M_015","Nigella.arvensis"
"M_015","Ononis.ornithopioides"
"M_015","Ophrys.lutea"
"M_015","Ophrys.sphegodes"
"M_015","Ophrys.tenthredinifera"
"M_015","Ornithogalum.exscapum"
"M_015","Osyris.alba"
"M_015","Oxalis.pes-caprae"
"M_015","Pallenis.spinosa"
"M_015","Papaver.rhoeas"
"M_015","Petrorhagia.velutina"
"M_015","Phagnalon.graecum"
"M_015","Phlomis.fructicosa"
"M_015","Plantago.lagopus"
"M_015","Prasium.majus"
"M_015","Psoralea.bituminosa"
"M_015","Pterocephalus.papposus"
"M_015","Ranunculus.spruneranus"
"M_015","Reichardia.picroides"
"M_015","Reseda.alba"
"M_015","Ruta.graveolens"
"M_015","Salvia.triloba"
"M_015","Salvia.verbenaca"
"M_015","Sarcopoterium.spinosum"
"M_015","Satureja.thymbra"
"M_015","Scabiosa.atropurpurea"
"M_015","Scaligeria.cretica"
"M_015","Scandix.australis"
"M_015","Scilla.autumnalis"
"M_015","Scolymus.hispanicus"
"M_015","Scorzonera.cana"
"M_015","Scorzonera.lanata"
"M_015","Senecio.vulgaris"
"M_015","Sherardia.arvensis"
"M_015","Silene.colorata"
"M_015","Sisymbrium.orientale"
"M_015","Stachys.cretica"
"M_015","Sternbergia.lutea"
"M_015","Taraxacum.officinale"
"M_015","Teucrium.polium"
"M_015","Thapsia.garganica"
"M_015","Thymelaea.hirsuta"
"M_015","Thymelaea.tartonraira"
"M_015","Thymus.capitatus"
"M_015","Tordylium.apulum"
"M_015","Tragopogon.porrifolius"
"M_015","Tremastelma.palestinum"
"M_015","Trifolium.repens"
"M_015","Trifolium.stellatum"
"M_015","Urginea.maritima"
"M_015","Verbascum.undulatum"
"M_015","Veronica.persica"
"M_016","Armeria.velutina"
"M_016","Asparagus.aphyllus"
"M_016","Calluna.vulgaris"
"M_016","Chamaerops.humilis"
"M_016","Cistus.libanotis"
"M_016","Cistus.salvifolius"
"M_016","Cytisus.grandiflorus"
"M_016","Daphne.gnidium"
"M_016","Erica.ciliaris"
"M_016","Halimium.commutatum"
"M_016","Halimium.halimifolium"
"M_016","Helianthemum.croceum"
"M_016","Helichrysum.picardii"
"M_016","Lavandula.stoechas"
"M_016","Lonicera.periclymenum"
"M_016","Myrtus.communis"
"M_016","Osyris.alba"
"M_016","Osyris.quadripartita"
"M_016","Phillyrea.angustifolia"
"M_016","Rosmarinus.officinalis"
"M_016","Rubus.ulmifolius"
"M_016","Smilax.aspera"
"M_016","Stauracanthus.genistoides"
"M_016","Thymus.mastichina"
"M_016","Ulex.minor"
"M_016","Ulex.parviflorus"
"M_017","Aethusa.cynapium"
"M_017","Agrimonia.eupatoria"
"M_017","Angelica.sylvestris"
"M_017","Centaurea.nigra"
"M_017","Chamerion.angustifolium"
"M_017","Clematis.vitalba"
"M_017","Convolvulus.arvensis"
"M_017","Crepis.capillaris"
"M_017","Daucus.carota"
"M_017","Eupatorium.cannabinum"
"M_017","Euphrasia.officinalis"
"M_017","Hypochoeris.radicata"
"M_017","Knautia.arvensis"
"M_017","Lathyrus.pratensis"
"M_017","Leontodon.autumnalis"
"M_017","Leontodon.hispidus"
"M_017","Leontodon.saxatilis"
"M_017","Linum.catharticum"
"M_017","Lotus.corniculatus"
"M_017","Medicago.lupulina"
"M_017","Plantago.major"
"M_017","Rubus.fruticosus"
"M_017","Senecio.jacobea"
"M_017","Torilis.japonica"
"M_017","Trifolium.pratense"
"M_018","Achillea.millefolium"
"M_018","Aegopodium.podagraria"
"M_018","Allium.scorodoprasum"
"M_018","Angelica.sylvestris"
"M_018","Calystegia.sepium"
"M_018","Cerastium.glomeratum"
"M_018","Chaerophyllum.temulentum"
"M_018","Chamomilla.recutita"
"M_018","Chrysanthemum.maximum"
"M_018","Cirsium.arvense"
"M_018","Cirsium.vulgare"
"M_018","Daucus.carota"
"M_018","Echium.vulgare"
"M_018","Epilobium.montanum"
"M_018","Eupatorium.cannabinum"
"M_018","Geranium.robertianum"
"M_018","Hypericum.perforatum"
"M_018","Juncus.effusus"
"M_018","Lapsana.communis"
"M_018","Lychnis.flos-cuculi"
"M_018","Malva.sylvestris"
"M_018","Melilotus.albus"
"M_018","Myosotis.palustris"
"M_018","Prunella.vulgaris"
"M_018","Ranunculus.repens"
"M_018","Senecio.jacobea"
"M_018","Silene.dioica"
"M_018","Sonchus.arvensis"
"M_018","Sonchus.palustris"
"M_018","Stachys.palustris"
"M_018","Stachys.sylvatica"
"M_018","Tanacetum.vulgare"
"M_018","Trifolium.dubium"
"M_018","Trifolium.repens"
"M_018","Tripleurospermum.inodorum"
"M_018","Verbascum.thapsus"
"M_018","Veronica.agrestis"
"M_018","Vicia.hirsuta"
"M_018","Vicia.sepium"
"M_019","Achillea.millefolium"
"M_019","Aciphylla.glacialis"
"M_019","Aciphylla.simplicifolia"
"M_019","Asperula.gunnii"
"M_019","Baeckia.gunniana"
"M_019","Brachycome.scapiformis"
"M_019","Brachycome.scapigera"
