"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_005","Bombus fulvida",2,37,0.0540540540540541,-0.276423946931183
"M_005","Bombus hunti",30,37,0.810810810810811,5.42991490392702
"M_005","Bombus hyperboreus subsp. albertensis",12,37,0.324324324324324,1.7615542140896
"M_005","Bombus juxtus",27,37,0.72972972972973,4.81852145562079
"M_005","Bombus kirbyellus",8,37,0.216216216216216,0.94636294968129
"M_005","Bombus morrisoni",12,37,0.324324324324324,1.7615542140896
"M_005","Bombus nevadensis",5,37,0.135135135135135,0.334969501375053
"M_005","Bombus occidentalis",32,37,0.864864864864865,5.83751053613118
"M_005","Bombus pennsylvanicus",1,37,0.027027027027027,-0.480221763033262
"M_005","Bombylius atriceps",1,37,0.027027027027027,-0.480221763033262
"M_005","Brachyopa notata",2,37,0.0540540540540541,-0.276423946931183
"M_005","Bracon helena",1,37,0.027027027027027,-0.480221763033262
"M_005","Bracon vulgaris",1,37,0.027027027027027,-0.480221763033262
"M_005","Brenthis helena",1,37,0.027027027027027,-0.480221763033262
"M_005","Brenthis triclaris",2,37,0.0540540540540541,-0.276423946931183
"M_005","Calliphora vomitoria",1,37,0.027027027027027,-0.480221763033262
"M_005","Celerio lineata",2,37,0.0540540540540541,-0.276423946931183
"M_005","Cenis uhleri",1,37,0.027027027027027,-0.480221763033262
"M_005","Cerastomia lignaria",1,37,0.027027027027027,-0.480221763033262
"M_005","Ceratina sp1 M PL 005",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Chilosia petulca",1,37,0.027027027027027,-0.480221763033262
"M_005","Chilosia tristis",1,37,0.027027027027027,-0.480221763033262
"M_005","Chionobis macouni",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Chrysogsater parva",1,37,0.027027027027027,-0.480221763033262
"M_005","Chrysophanus helloides",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Chrysophanus rubidus",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Chrysophanus sirius",1,37,0.027027027027027,-0.480221763033262
"M_005","Chrysotoxum integrum",2,37,0.0540540540540541,-0.276423946931183
"M_005","Chrysotoxum upsilon",1,37,0.027027027027027,-0.480221763033262
"M_005","Chrysotoxum ventricosum",1,37,0.027027027027027,-0.480221763033262
"M_005","Clisodon sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Clisodon terminalis",15,37,0.405405405405405,2.37294766239584
"M_005","Coelioxys moesta",2,37,0.0540540540540541,-0.276423946931183
"M_005","Coenonympha pamphiloides",3,37,0.0810810810810811,-0.0726261308291045
