"plantas","Andrena.benefica","Andrena.brassicae","Andrena.japonica","Andrena.Knuthi","Andrena.komachi","Andrena.opacifovea.opacifovea","Andrena.protomias","Andrena.yamamotoi","Anthidium.septemspinosum","Anthophora.pilipes.villosula","Apis.cerana.japonica","Apis.mellifera","Bombus.ardens","Bombus.diversus.diversus","Bombus.hypocrita.hypocrita","Bombus.ignitus","Ceratina.esakii","Ceratina.flavipes","Ceratina.iwatai","Ceratina.japonica","Chalicodoma.disjunctiformis","Chalicodoma.sculpturalis","Chalicodoma.sp1.M.PL.054","Coelioxys.fenestrata","Coelioxys.yanonis","Colletes.sp1.M.PL.054","Colletes.sp2.M.PL.054","Halictus.aerarius","Hylaeus.floralis","Hylaeus.nippon","Lasioglossum.baleicum","Lasioglossum.duplex","Lasioglossum.exiliceps","Lasioglossum.japonicum","Lasioglossum.mutilum","Lasioglossum.occidens","Lasioglossum.proximatum","Lasioglossum.scitulum","Lasioglossum.sibiriacum","Lasioglossum.sp1.M.PL.054","Lasioglossum.sp2.M.PL.054","Lasioglossum.taniolellum","Lithurgus.collaris","Megachile.kobensis","Megachile.nipponica","Megachile.pseudomonticola","Megachile.remota.sakagamii","Megachile.subalbuta","Megachile.tsurugensis","Nomada.ginran","Nomada.japonica","Nomada.shepparadana.okubira","Osmia.imaii","Osmia.orientalis","Osmia.taurus","Panurginus.crawfordi","Tetralonia.mitsukurii","Tetralonia.nipponens","Xylocopa.appendicuiata.circumvolan","Xylocopa.appendiculata.circumvolan"
"Spiraea.tossensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itea.parviflora",0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.thunbergii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viburnum.dilatatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ilex.serrata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lyonia.ovalifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ulmus.davidiana",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euonymus.fo.rtunei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fraxinus.griffithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Taraxacum.japonicum",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Philadelphus.coronarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stewartia.monadelpha",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Astragalus.sinicus",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Lespedeza.thunbergii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,0,2,4,1,0,0,0,0,0,0,0,10,0,0,0
"Syringa.vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
