"especie","ID","genero","Familia","DIT","umbral","size","es.umbral"
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,1,"Grande",FALSE
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,1,"Grande",FALSE
"Melissodes.coreopsis","M_062","Melissodes","Apidae",2.6,1,"Grande",FALSE
"Osmia.atriventris","M_062","Osmia","Megachilidae",2.08,1,"Grande",FALSE
"Osmia.collinsiae","M_062","Osmia","Megachilidae",2.7,1,"Grande",FALSE
"Peponapis.pruinosa","M_062","Peponapis","Apidae",3.16,1,"Grande",FALSE
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,2,"Grande",TRUE
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,2,"Grande",TRUE
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,2,"Grande",TRUE
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,2,"Grande",TRUE
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,2,"Pequena",TRUE
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,2,"Pequena",TRUE
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,2,"Pequena",TRUE
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,2,"Grande",TRUE
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,2,"Pequena",TRUE
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,2,"Pequena",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,2,"Grande",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,2,"Grande",TRUE
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,2,"Grande",TRUE
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,2,"Grande",TRUE
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,2,"Pequena",TRUE
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,2,"Pequena",TRUE
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,2,"Pequena",TRUE
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,2,"Grande",TRUE
"Colletes.similis","M_062","Colletes","Colletidae",2.37,2,"Grande",TRUE
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,2,"Grande",TRUE
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,2,"Grande",TRUE
"Melissodes.coreopsis","M_062","Melissodes","Apidae",2.6,2,"Grande",TRUE
"Osmia.atriventris","M_062","Osmia","Megachilidae",2.08,2,"Grande",TRUE
"Osmia.collinsiae","M_062","Osmia","Megachilidae",2.7,2,"Grande",TRUE
"Peponapis.pruinosa","M_062","Peponapis","Apidae",3.16,2,"Grande",TRUE
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,3,"Pequena",TRUE
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,3,"Pequena",TRUE
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,3,"Pequena",TRUE
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,3,"Pequena",TRUE
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,3,"Pequena",TRUE
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,3,"Pequena",TRUE
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,3,"Pequena",TRUE
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,3,"Pequena",TRUE
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,3,"Pequena",TRUE
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,3,"Pequena",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,3,"Grande",TRUE
