"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum scitulum","M_054",2,24,0.0833333333333333,-0.404805898367309
"Lasioglossum scitulum","M_055",1,12,0.0833333333333333,-0.736271454932668
"Lasioglossum sexmaculatum","M_047",1,13,0.0769230769230769,-0.633925273289415
"Lasioglossum sexstrigatum","M_021",2,25,0.08,-0.405154568376667
"Lasioglossum sexstrigatum","M_057",1,37,0.027027027027027,-0.565502610273691
"Lasioglossum sibiriacum","M_053",2,15,0.133333333333333,-0.399168367514038
"Lasioglossum sibiriacum","M_055",12,12,1,3.0601282345639
"Lasioglossum sibiriacum","M_057",10,37,0.27027027027027,0.538827958845686
"Lasioglossum sibiriacum","M_054",1,24,0.0416666666666667,-0.593486613708003
"Lasioglossum sordidum","M_028",10,10,1,2.69884860334621
"Lasioglossum sordidum","M_029",3,9,0.333333333333333,0.266356801951717
"Lasioglossum subopacum","M_044",9,21,0.428571428571429,0.76462506248561
"Lasioglossum subviridatum","M_073",1,21,0.0476190476190476,-0.567092158662006
"Lasioglossum taniolellum","M_054",5,24,0.208333333333333,0.161236247654775
"Lasioglossum taniolellum","M_021",1,25,0.04,-0.576679860098175
"Lasioglossum tegulare","M_073",2,21,0.0952380952380952,-0.360395016719779
"Lasioglossum transitorium","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum transpositum","M_021",11,25,0.44,1.13857305711691
"Lasioglossum transpositum","M_057",14,37,0.378378378378378,1.02964154512096
"Lasioglossum villosulum","M_016",1,14,0.0714285714285714,-0.696745121582211
"Lasioglossum villosulum","M_047",4,13,0.307692307692308,0.507140218631532
"Lasioglossum villosulum","M_007",1,10,0.1,-0.568903074579574
"Lasioglossum villosulum","M_015",6,104,0.0576923076923077,0.0430097976190811
"Lasioglossum villosulum","M_006",1,10,0.1,-0.772807633514369
"Lasioglossum viride","M_008",4,6,0.666666666666667,0.337213701039528
"Lasioglossum weemsi","M_073",2,21,0.0952380952380952,-0.360395016719779
"Lasioglossum zonulum","M_015",2,104,0.0192307692307692,-0.401091368494221
"Lassioglossum fuscipenne","M_025",1,7,0.142857142857143,-1.02189886744499
"Leioproctus boltonii","M_029",1,9,0.111111111111111,-0.443928003252861
"Leioproctus boltonii","M_028",1,10,0.1,-0.77109960095606
"Leioproctus fulvescens","M_029",9,9,1,2.39721121756545
"Leioproctus fulvescens","M_027",6,6,1,0.707106781186547
"Leioproctus fulvescens","M_028",4,10,0.4,0.38554980047803
"Leioproctus imitatus","M_029",1,9,0.111111111111111,-0.443928003252861
"Leioproctus imitatus","M_028",1,10,0.1,-0.77109960095606
"Leioproctus indigoticus","M_072",4,66,0.0606060606060606,-0.516223789295026
"Leioproctus maritimus","M_029",1,9,0.111111111111111,-0.443928003252861
"Leioproctus maritimus","M_027",1,6,0.166666666666667,-0.707106781186547
"Leioproctus maritimus","M_028",1,10,0.1,-0.77109960095606
"Leioproctus monticola","M_028",4,10,0.4,0.38554980047803
"Leucosmia albiventria","M_062",22,121,0.181818181818182,0.257324334292239
"Liphanthus sabulosus","M_001",3,16,0.1875,-0.248807610739101
"Lithurgus collaris","M_054",1,24,0.0416666666666667,-0.593486613708003
"Macropis labiata","M_049",2,11,0.181818181818182,-0.717138273031226
"Macropis steironematis","M_062",24,121,0.198347107438017,0.349120126732509
"Manuelia gayi","M_051",3,10,0.3,-0.170916449797568
"Manuelia postica","M_051",4,10,0.4,0.205099739757081
"Megachile 6 dentata","M_062",5,121,0.0413223140495868,-0.522939901450051
"Megachile addenda","M_062",6,121,0.0495867768595041,-0.477042005229917
"Megachile albisecta","M_015",6,104,0.0576923076923077,0.0430097976190811
"Megachile albocristata","M_015",4,104,0.0384615384615385,-0.17904078543757
"Megachile argentata","M_016",3,14,0.214285714285714,0.0302932661557484
"Megachile argentata","M_015",15,104,0.144230769230769,1.04223742137401
"Megachile canariensis","M_008",5,6,0.833333333333333,0.915294331393006
"Megachile ericetorum","M_015",8,104,0.0769230769230769,0.265060380675732
"Megachile gemula albula","M_005",1,37,0.027027027027027,-0.658818010816978
"Megachile generosa","M_062",23,121,0.190082644628099,0.303222230512374
"Megachile giraudi","M_015",2,104,0.0192307692307692,-0.401091368494221
"Megachile hungarica","M_015",1,104,0.00961538461538462,-0.512116660022547
"Megachile japonica","M_053",1,15,0.0666666666666667,-0.667699814750755
"Megachile kobensis","M_054",3,24,0.125,-0.216125183026614
"Megachile leachella","M_016",1,14,0.0714285714285714,-0.696745121582211
"Megachile lefebvrei","M_015",3,104,0.0288461538461538,-0.290066076965896
"Megachile manicata","M_015",4,104,0.0384615384615385,-0.17904078543757
"Megachile maritima","M_016",3,14,0.214285714285714,0.0302932661557484
"Megachile mendica","M_062",15,121,0.12396694214876,-0.0639609392487039
"Megachile mendica","M_073",10,21,0.476190476190476,1.29318211881803
"Megachile montenegrensis","M_015",1,104,0.00961538461538462,-0.512116660022547
"Megachile nipponica","M_055",3,12,0.25,-0.0460169659332917
"Megachile nipponica","M_054",4,24,0.166666666666667,-0.0274444676859192
"Megachile nipponica amamiensis","M_044",1,21,0.0476190476190476,-0.682407313831243
"Megachile okinawana","M_044",4,21,0.19047619047619,-0.139770172712423
"Megachile oligolege","M_062",6,121,0.0495867768595041,-0.477042005229917
"Megachile pacifica","M_015",1,104,0.00961538461538462,-0.512116660022547
"Megachile parietina","M_015",11,104,0.105769230769231,0.598136255260709
"Megachile petulans","M_062",1,121,0.00826446280991736,-0.70653148633059
"Megachile pseudomonticola","M_054",1,24,0.0416666666666667,-0.593486613708003
"Megachile pugnata","M_005",5,37,0.135135135135135,-0.118249386556894
"Megachile pyrenaica","M_015",2,104,0.0192307692307692,-0.401091368494221
"Megachile relativa","M_005",4,37,0.108108108108108,-0.253391542621915
"Megachile remota","M_053",1,15,0.0666666666666667,-0.667699814750755
"Megachile remota sakagamii","M_054",2,24,0.0833333333333333,-0.404805898367309
"Megachile remota sakagamii","M_021",1,25,0.04,-0.576679860098175
"Megachile semirufa","M_001",16,16,1,2.85092053971887
"Megachile semirufa","M_002",4,8,0.5,0.477382331758561
"Megachile semirufa","M_003",1,3,0.333333333333333,-0.707106781186547
"Megachile seychellensis","M_061",13,31,0.419354838709677,-0.370809924354783
"Megachile strophostylis","M_062",3,121,0.0247933884297521,-0.614735693890321
"Megachile subalbuta","M_054",5,24,0.208333333333333,0.161236247654775
"Megachile sumizome","M_056",1,22,0.0454545454545455,-0.730844233103581
"Megachile texana","M_005",2,37,0.0540540540540541,-0.523675854751957
"Megachile tsurugensis","M_054",6,24,0.25,0.34991696299547
"Megachile tsurugensis","M_021",3,25,0.12,-0.233629276655158
"Megachile tsurugensis","M_057",6,37,0.162162162162162,0.0480143725704077
"Megachile tsurugensis","M_053",2,15,0.133333333333333,-0.399168367514038
"Megachile tsurugensis","M_055",3,12,0.25,-0.0460169659332917
