"ID","familia","sp.armonizado","Grado","n.familia","GFE","n.plantas.ID","n.familias.ID","Grado.relativo","Grado.relativo.familias","Z_Grado"
"M_054","Halictidae","Lasioglossum duplex",3,3,0.666666666666667,82,40,0.0365853658536585,0.075,-0.198162372409087
"M_054","Halictidae","Lasioglossum exiliceps",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Halictidae","Lasioglossum japonicum",8,6,0.73469387755102,82,40,0.0975609756097561,0.15,0.776406672225767
"M_054","Halictidae","Lasioglossum mutilum",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Halictidae","Lasioglossum occidens",19,13,0.878892733564014,82,40,0.231707317073171,0.325,2.92045857042245
"M_054","Halictidae","Lasioglossum proximatum",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Halictidae","Lasioglossum scitulum",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Halictidae","Lasioglossum sibiriacum",1,1,1,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Halictidae","Lasioglossum sp1 M PL 054",7,4,0.64,82,40,0.0853658536585366,0.1,0.581492863298797
"M_054","Halictidae","Lasioglossum sp2 M PL 054",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Halictidae","Lasioglossum taniolellum",5,5,0.8,82,40,0.0609756097560976,0.125,0.191665245444855
"M_054","Megachilidae","Anthidium septemspinosum",3,3,0.666666666666667,82,40,0.0365853658536585,0.075,-0.198162372409087
"M_054","Megachilidae","Chalicodoma disjunctiformis",2,2,0,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Megachilidae","Chalicodoma sculpturalis",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Chalicodoma sp1 M PL 054",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Megachilidae","Coelioxys fenestrata",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Coelioxys yanonis",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Lithurgus collaris",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Megachile kobensis",3,2,0.444444444444444,82,40,0.0365853658536585,0.05,-0.198162372409087
"M_054","Megachilidae","Megachile nipponica",4,4,0.666666666666667,82,40,0.0487804878048781,0.1,-0.00324856348211617
"M_054","Megachilidae","Megachile pseudomonticola",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Megachile remota sakagamii",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Megachilidae","Megachile subalbuta",5,4,0.72,82,40,0.0609756097560976,0.1,0.191665245444855
"M_054","Megachilidae","Megachile tsurugensis",6,6,0.8,82,40,0.0731707317073171,0.15,0.386579054371826
"M_054","Megachilidae","Osmia imaii",3,3,0.666666666666667,82,40,0.0365853658536585,0.075,-0.198162372409087
"M_054","Megachilidae","Osmia orientalis",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Megachilidae","Osmia taurus",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_055","Andrenidae","Andrena Knuthi",3,3,0.5,41,19,0.0731707317073171,0.157894736842105,-0.0558595798581803
"M_055","Andrenidae","Andrena japonicum",1,1,0,41,19,0.024390243902439,0.0526315789473684,-0.726174538156345
"M_055","Andrenidae","Andrena munutula",1,1,0,41,19,0.024390243902439,0.0526315789473684,-0.726174538156345
"M_055","Apidae","Apis cerana",6,4,0.625,41,19,0.146341463414634,0.210526315789474,0.949612857589066
"M_055","Apidae","Apis mellifera",3,3,0.5,41,19,0.0731707317073171,0.157894736842105,-0.0558595798581803
"M_055","Apidae","Bombus diversus",5,5,0.75,41,19,0.121951219512195,0.263157894736842,0.614455378439984
"M_055","Apidae","Bombus hypocrita",1,1,0,41,19,0.024390243902439,0.0526315789473684,-0.726174538156345
"M_055","Apidae","Ceratina esakii",1,1,0,41,19,0.024390243902439,0.0526315789473684,-0.726174538156345
"M_055","Apidae","Ceratina flavipes",2,2,0.5,41,19,0.0487804878048781,0.105263157894737,-0.391017059007262
