"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Bombus diversus diversus","M_057",37,37,1,1.91125256048748
"Bombus diversus diversus","M_054",2,23,0.0869565217391304,-0.832050294337844
"Bombus fervidus","M_005",6,32,0.1875,-0.241451948623229
"Bombus flavifrons","M_005",16,32,0.5,0.851915365897051
"Bombus griseocollis","M_073",6,21,0.285714285714286,0.211881609312304
"Bombus griseocollis","M_032",4,6,0.666666666666667,0.794430822633543
"Bombus honshuensis","M_056",20,20,1,1.70533161868531
"Bombus honshuensis","M_057",8,37,0.216216216216216,-0.44731442905026
"Bombus honshuensis","M_021",25,25,1,2.13999218771179
"Bombus hortorum","M_006",5,10,0.5,0.42379773450788
"Bombus hortorum","M_018",8,15,0.533333333333333,0.828706358024792
"Bombus hortorum","M_043",7,10,0.7,1.21973566892209
"Bombus hortorum","M_049",2,11,0.181818181818182,-0.882522608121828
"Bombus hortorum","M_007",1,10,0.1,-0.568903074579574
"Bombus hortorum","M_038",2,2,1,NA
"Bombus hortotum","M_028",3,10,0.3,-0.416474882116111
"Bombus hunti","M_005",30,32,0.9375,2.38262960622544
"Bombus hyperboreus","M_009",1,1,1,NA
"Bombus hyperboreus","M_014",1,3,0.333333333333333,-0.707106781186547
"Bombus hypnorum","M_049",2,11,0.181818181818182,-0.882522608121828
"Bombus hypocrita","M_056",18,20,0.9,1.43428553359625
"Bombus hypocrita","M_055",1,6,0.166666666666667,-0.86066296582387
"Bombus hypocrita hypocrita","M_057",18,37,0.486486486486487,0.365984532859304
"Bombus hypocrita hypocrita","M_054",7,23,0.304347826086957,-0.138675049056307
"Bombus hypocrita hypocrita","M_021",14,25,0.56,0.771392532779831
"Bombus ignitus","M_054",9,23,0.391304347826087,0.138675049056307
"Bombus ignitus","M_053",10,15,0.666666666666667,0.619535008750006
"Bombus ignitus","M_057",1,37,0.027027027027027,-1.01662370238696
"Bombus ignitus","M_021",1,25,0.04,-0.846043423048847
