"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum weemsi","M_073",2,21,0.0952380952380952,-0.382110157282132
"Lasioglossum zonulum","M_015",2,38,0.0526315789473684,-0.491190639739269
"Lassioglossum fuscipenne","M_025",1,7,0.142857142857143,-1.05362781094266
"Leioproctus boltonii","M_029",1,11,0.0909090909090909,-0.700668649142545
"Leioproctus boltonii","M_028",1,10,0.1,-0.858716978732758
"Leioproctus fulvescens","M_029",9,11,0.818181818181818,1.5414710281136
"Leioproctus fulvescens","M_027",6,6,1,1.3337718577107
"Leioproctus fulvescens","M_028",4,10,0.4,0.272276115207948
"Leioproctus imitatus","M_029",1,11,0.0909090909090909,-0.700668649142545
"Leioproctus imitatus","M_028",1,10,0.1,-0.858716978732758
"Leioproctus indigoticus","M_072",4,66,0.0606060606060606,-0.363760182500509
"Leioproctus maritimus","M_029",1,11,0.0909090909090909,-0.700668649142545
"Leioproctus maritimus","M_027",1,6,0.166666666666667,-1.23117402250218
"Leioproctus maritimus","M_028",1,10,0.1,-0.858716978732758
"Leioproctus monticola","M_028",4,10,0.4,0.272276115207948
"Leioproctus sp1 M PL 019","M_019",11,13,0.846153846153846,2.42042122176922
"Leioproctus sp1 M PL 027","M_027",4,6,0.666666666666667,0.307793505625546
"Leioproctus sp1 M PL 028","M_028",6,10,0.6,1.02627151116842
"Leioproctus sp1 M PL 029","M_029",11,11,1,2.10200594742763
"Leioproctus sp2 M PL 019","M_019",5,13,0.384615384615385,0.614917823908938
"Leioproctus sp2 M PL 027","M_027",2,6,0.333333333333333,-0.718184846459608
"Leioproctus sp2 M PL 028","M_028",5,10,0.5,0.649273813188183
"Leioproctus sp2 M PL 029","M_029",5,11,0.454545454545455,0.420401189485527
"Leioproctus sp3 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Leioproctus sp3 M PL 028","M_028",4,10,0.4,0.272276115207948
"Leioproctus sp3 M PL 029","M_029",2,11,0.181818181818182,-0.420401189485527
