"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp15.M.PL.017","Diptera sp15 M PL 017",NA,"Diptera sp15 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Meligethes.sp1.M.PL.046","Meligethes sp1 M PL 046",NA,"Meligethes sp1 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",5,"Unidentified.sp8.M.PL.017","Unidentified sp8 M PL 017",NA,"Unidentified sp8 M PL 017"
"M_054","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Sphaerophoria.macrogaster","Sphaerophoria macrogaster",NA,"Sphaerophoria macrogaster"
"M_057","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Sphaerophoria.menthastri","Sphaerophoria menthastri",NA,"Sphaerophoria menthastri"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp12.M.PL.046","Diptera sp12 M PL 046",NA,"Diptera sp12 M PL 046"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Coleoptera.sp4.M.PL.046","Coleoptera sp4 M PL 046",NA,"Coleoptera sp4 M PL 046"
"M_057","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Lasioglossum.apristum","Lasioglossum apristum",NA,"Lasioglossum apristum"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Unidentified.sp14.M.PL.017","Unidentified sp14 M PL 017",NA,"Unidentified sp14 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Melanostoma.scalare","Melanostoma scalare",NA,"Melanostoma scalare"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",6,"Hymenoptera.sp39.M.PL.017","Hymenoptera sp39 M PL 017",NA,"Hymenoptera sp39 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",6,"Syritta.pipiens","Syritta pipiens",NA,"Syritta pipiens"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",43,"Diptera.sp32.M.PL.017","Diptera sp32 M PL 017",NA,"Diptera sp32 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Helophilus.pendulus","Helophilus pendulus",NA,"Helophilus pendulus"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",2,"Meliscaeva.auricollis","Meliscaeva auricollis",NA,"Meliscaeva auricollis"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Pieris.sp1.M.PL.046","Pieris sp1 M PL 046",NA,"Pieris sp1 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",2,"Melanostoma.mellinum","Melanostoma mellinum",NA,"Melanostoma mellinum"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",2,"Unidentified.sp40.M.PL.017","Unidentified sp40 M PL 017",NA,"Unidentified sp40 M PL 017"
"M_057","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Carbula.humerigera","Carbula humerigera",NA,"Carbula humerigera"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",27,"Eriothrix.rufomaculata","Eriothrix rufomaculata",NA,"Eriothrix rufomaculata"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp6.M.PL.046","Diptera sp6 M PL 046",NA,"Diptera sp6 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",22,"Diptera.sp22.M.PL.017","Diptera sp22 M PL 017",NA,"Diptera sp22 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",3,"Diptera.sp13.M.PL.017","Diptera sp13 M PL 017",NA,"Diptera sp13 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp2.M.PL.046","Diptera sp2 M PL 046",NA,"Diptera sp2 M PL 046"
