"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Arisaema","Arisaema.triphyllum","Alismatales","Araceae","Arisaema",TRUE,1
"Arisaema","Arisaema.japonicum","Alismatales","Araceae","Arisaema",TRUE,1
"Arisarum","Arisarum.vulgare","Alismatales","Araceae","Arisarum",TRUE,1
"Aristolochia","Aristolochia.tomentosa","Piperales","Aristolochiaceae","Aristolochia",TRUE,1
"Aristotelia","Aristotelia.chilensis","Oxalidales","Elaeocarpaceae","Aristotelia",TRUE,1
"Arjona","Arjona.patagonica","Santalales","Schoepfiaceae","Arjona",TRUE,1
"Arjona","Arjona.tuberosa","Santalales","Schoepfiaceae","Arjona",TRUE,1
"Armeria","Armeria.scabra","Caryophyllales","Plumbaginaceae","Armeria",TRUE,1
"Armeria","Armeria.velutina","Caryophyllales","Plumbaginaceae","Armeria",TRUE,1
"Arnica","Arnica.sp1.M.PL.014","Asterales","Asteraceae","Arnica",TRUE,1
"Arnica","Arnica.angustifolia","Asterales","Asteraceae","Arnica",TRUE,1
"Arnica","Arnica.alpina","Asterales","Asteraceae","Arnica",TRUE,1
"Aronia","Aronia.melanocarpa","Rosales","Rosaceae","Aronia",TRUE,1
"Aruncus","Aruncus.dioicus","Rosales","Rosaceae","Aruncus",TRUE,1
"Aruncus","Aruncus.sylvester","Rosales","Rosaceae","Aruncus",TRUE,1
"Ascerates","Ascerates.floridana",NA,NA,NA,TRUE,1
"Ascerates","Ascerates.viridiflora",NA,NA,NA,TRUE,1
"Asclepias","Asclepias.speciosa","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.syriaca","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.woodii","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.sullivantii","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.incarnata","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.verticillata","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.cucullata","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.purpurascens","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.halli","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Asclepias","Asclepias.tuberosa","Gentianales","Apocynaceae","Asclepias",TRUE,1
"Ascleptas","Ascleptas.curassavica",NA,NA,NA,TRUE,1
"Asiminia","Asiminia.triloba",NA,NA,NA,TRUE,1
"Asparagus","Asparagus.officinalis","Asparagales","Asparagaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.officinalis","Liliales","Liliaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.aphyllus","Asparagales","Asparagaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.aphyllus","Liliales","Liliaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.acutifolius","Asparagales","Asparagaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.acutifolius","Liliales","Liliaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.schoberioides","Asparagales","Asparagaceae","Asparagus",TRUE,2
"Asparagus","Asparagus.schoberioides","Liliales","Liliaceae","Asparagus",TRUE,2
"Asperula","Asperula.gunnii","Gentianales","Rubiaceae","Asperula",TRUE,1
