"Family","Genus","sp.armonizado","DIT.final"
"Colletidae","Hylaeus","Hylaeus signatus",1.63
"Colletidae","Hylaeus","Hylaeus variegatus",1.32
"Megachilidae","Icteranthidium","Icteranthidium grohmanni",3.07
"Halictidae","Lasioglossum","Lasioglossum aegyptiellum",2.12
"Halictidae","Lasioglossum","Lasioglossum aeratum",1.08
"Halictidae","Lasioglossum","Lasioglossum albipes",1.59
"Halictidae","Lasioglossum","Lasioglossum albocinctum",2.6
"Halictidae","Lasioglossum","Lasioglossum anellum",1.19
"Halictidae","Lasioglossum","Lasioglossum arctifrons",1.1
"Halictidae","Lasioglossum","Lasioglossum brevicome",1.38
"Halictidae","Lasioglossum","Lasioglossum calceatum",1.77
"Halictidae","Lasioglossum","Lasioglossum callizonium",2.24
"Halictidae","Lasioglossum","Lasioglossum chalcodes",2.27
"Halictidae","Lasioglossum","Lasioglossum convexiusculum",1.59
"Halictidae","Lasioglossum","Lasioglossum crassepunctatum",1.46
"Halictidae","Lasioglossum","Lasioglossum cressonii",1.29
"Halictidae","Lasioglossum","Lasioglossum ephialtum",1.2
"Halictidae","Lasioglossum","Lasioglossum fratellum",1.45
"Halictidae","Lasioglossum","Lasioglossum fuscipenne",2.1
"Halictidae","Lasioglossum","Lasioglossum gorkiense",1.88
"Halictidae","Lasioglossum","Lasioglossum hitchensi",1.16
"Halictidae","Lasioglossum","Lasioglossum imitatum",0.98
"Halictidae","Lasioglossum","Lasioglossum immunitum",1.96
"Halictidae","Lasioglossum","Lasioglossum laticeps",1.45
"Halictidae","Lasioglossum","Lasioglossum leucopus",1.11
"Halictidae","Lasioglossum","Lasioglossum leucozonium",1.84
"Halictidae","Lasioglossum","Lasioglossum limbelloides",1.31
"Halictidae","Lasioglossum","Lasioglossum limbellum",1.31
"Halictidae","Lasioglossum","Lasioglossum lineare",1.39
"Halictidae","Lasioglossum","Lasioglossum littorale",1.35
"Halictidae","Lasioglossum","Lasioglossum loetum",1.37
"Halictidae","Lasioglossum","Lasioglossum lucidulum",0.78
"Halictidae","Lasioglossum","Lasioglossum macoupinens",1.19
"Halictidae","Lasioglossum","Lasioglossum malachurum",1.57
"Halictidae","Lasioglossum","Lasioglossum marginatum",1.56
"Halictidae","Lasioglossum","Lasioglossum mediterraneum",1.61
"Halictidae","Lasioglossum","Lasioglossum mesosclerum",1.1
"Halictidae","Lasioglossum","Lasioglossum nigripes",2.15
"Halictidae","Lasioglossum","Lasioglossum nitidulum",1.17
"Halictidae","Lasioglossum","Lasioglossum oblongum",1.23
"Halictidae","Lasioglossum","Lasioglossum obscuratum",2.11
"Halictidae","Lasioglossum","Lasioglossum obscurum",1.17
"Halictidae","Lasioglossum","Lasioglossum occidens",2.26
"Halictidae","Lasioglossum","Lasioglossum pallens",1.56
"Halictidae","Lasioglossum","Lasioglossum pauxillum",1.18
"Halictidae","Lasioglossum","Lasioglossum politum",0.85
"Halictidae","Lasioglossum","Lasioglossum prasinum",1.76
"Halictidae","Lasioglossum","Lasioglossum proximatum",2.43
"Halictidae","Lasioglossum","Lasioglossum punctatissimum",1.29
"Halictidae","Lasioglossum","Lasioglossum quadrinotatum",1.59
"Halictidae","Lasioglossum","Lasioglossum scitulum",2.31
"Halictidae","Lasioglossum","Lasioglossum sexmaculatum",1.84
"Halictidae","Lasioglossum","Lasioglossum sexstrigatum",1.27
"Halictidae","Lasioglossum","Lasioglossum sordidum",1.29
"Halictidae","Lasioglossum","Lasioglossum subopacum",2.89
"Halictidae","Lasioglossum","Lasioglossum subviridatum",1.2
"Halictidae","Lasioglossum","Lasioglossum tegulare",0.94
"Halictidae","Lasioglossum","Lasioglossum transitorium",1.24
"Halictidae","Lasioglossum","Lasioglossum villosulum",1.38
"Halictidae","Lasioglossum","Lasioglossum viride",1.76
"Halictidae","Lasioglossum","Lasioglossum zonulum",1.98
"Halictidae","Lasioglossum","Lassioglossum fuscipenne",2.1
"Andrenidae","Liphanthus","Liphanthus sabulosus",1.237
"Apidae","Manuelia","Manuelia gayi",1.8
"Apidae","Manuelia","Manuelia postica",1.7
"Megachilidae","Megachile","Megachile albisecta",3.34
"Megachilidae","Megachile","Megachile albocristata",3.88
"Megachilidae","Megachile","Megachile argentata",2.82
"Megachilidae","Megachile","Megachile canariensis",3.07
"Megachilidae","Megachile","Megachile ericetorum",3.44
"Megachilidae","Megachile","Megachile gemula albula",3.62
"Megachilidae","Megachile","Megachile giraudi",2.97
"Megachilidae","Megachile","Megachile hungarica",3.44
"Megachilidae","Megachile","Megachile leachella",2.7
"Megachilidae","Megachile","Megachile lefebvrei",3.99
"Megachilidae","Megachile","Megachile manicata",3.82
"Megachilidae","Megachile","Megachile maritima",3.78
"Megachilidae","Megachile","Megachile mendica",3.3
"Megachilidae","Megachile","Megachile montenegrensis",3.39
"Megachilidae","Megachile","Megachile parietina",4.69
"Megachilidae","Megachile","Megachile pugnata",3.1
"Megachilidae","Megachile","Megachile pyrenaica",3.56
"Megachilidae","Megachile","Megachile relativa",2.68
"Megachilidae","Megachile","Megachile semirufa",4.19
"Megachilidae","Megachile","Megachile texana",3.65
"Megachilidae","Megachile","Megachile versicolor",3.3
"Megachilidae","Megachile","Megachile willughbiella",3.41
"Apidae","Melecta","Melecta albifrons",3.59
"Apidae","Melecta","Melecta curvispina",3
"Apidae","Melecta","Melecta tuberculata",3.5
"Apidae","Melipona","Melipona quadrifasciata",3
"Apidae","Melissodes","Melissodes agilis",3.24
"Apidae","Melissodes","Melissodes coreopsis",2.6
"Apidae","Nomada","Nomada babiyi",0.87
"Apidae","Nomada","Nomada basalis",1.77
"Apidae","Nomada","Nomada calimorpha",1.65
"Apidae","Nomada","Nomada corcyraea",1.29
"Apidae","Nomada","Nomada distinguenda",1.07
"Apidae","Nomada","Nomada eos",1.75
"Apidae","Nomada","Nomada erythrocephala",1.58
"Apidae","Nomada","Nomada femoralis",1.63
"Apidae","Nomada","Nomada flava",1.86
"Apidae","Nomada","Nomada fucata",1.88
"Apidae","Nomada","Nomada imperialis",2.55
"Apidae","Nomada","Nomada lucidula",2.43
"Apidae","Nomada","Nomada mavromoustakisi",0.84
"Apidae","Nomada","Nomada mutabilis",1.72
"Apidae","Nomada","Nomada nobilis",1.97
"Apidae","Nomada","Nomada panzeri",1.63
"Apidae","Nomada","Nomada propinqua",1.74
"Apidae","Nomada","Nomada rubricollis",1.83
"Apidae","Nomada","Nomada ruficornis",1.79
"Apidae","Nomada","Nomada rufipes",1.45
"Apidae","Nomada","Nomada trispinosa",1.64
"Halictidae","Nomioides","Nomioides facilis",0.8
"Megachilidae","Osmia","Osmia andrenoides",1.85
"Megachilidae","Osmia","Osmia apicata",3.24
"Megachilidae","Osmia","Osmia atriventris",2.08
"Megachilidae","Osmia","Osmia aurulenta",2.92
"Megachilidae","Osmia","Osmia bidentata",2.24
"Megachilidae","Osmia","Osmia bruneri",2.1
"Megachilidae","Osmia","Osmia caerulescens",2.37
"Megachilidae","Osmia","Osmia cephalotes",1.74
"Megachilidae","Osmia","Osmia collinsiae",2.7
"Megachilidae","Osmia","Osmia latreillei",2.89
"Megachilidae","Osmia","Osmia lignaria",2.9
"Megachilidae","Osmia","Osmia melanogaster",2.66
"Megachilidae","Osmia","Osmia moreensis",2.18
"Megachilidae","Osmia","Osmia mustelina",3.92
"Megachilidae","Osmia","Osmia nana",1.35
"Megachilidae","Osmia","Osmia nigrifrons",2.43
"Megachilidae","Osmia","Osmia pentstemonis",1.75
"Megachilidae","Osmia","Osmia proxima",2.16
"Megachilidae","Osmia","Osmia pumila",1.9
"Megachilidae","Osmia","Osmia pusilla",1.58
"Megachilidae","Osmia","Osmia scutellaris",1.43
"Megachilidae","Osmia","Osmia signata",2.71
"Megachilidae","Osmia","Osmia simillima",2.53
"Megachilidae","Osmia","Osmia spinigera",2.58
"Megachilidae","Osmia","Osmia subcornuta",2.41
"Megachilidae","Osmia","Osmia versicolor",1.78
"Megachilidae","Osmia","Osmia viridana",1.69
"Apidae","Peponapis","Peponapis pruinosa",3.16
"Megachilidae","Pseudoanthidium","Pseudoanthidium alpinum",2.14
"Megachilidae","Pseudoanthidium","Pseudoanthidium nanum",1.96
"Apidae","Pyrobombus","Pyrobombus impatiens",4.42
"Apidae","Pyrobombus","Pyrobombus ternarius",3.17
"Megachilidae","Rhodanthidium","Rhodanthidium caturigense",2.82
"Megachilidae","Rhodanthidium","Rhodanthidium septemdentatum",3.38
"Megachilidae","Rhodanthidium","Rhodanthidium sticticum",3.6
"Halictidae","Rophites","Rophites algirus",2.19
"Halictidae","Rophites","Rophites quinquespinosus",2.28
"Halictidae","Ruizantheda","Ruizantheda mutabilis",1.68
"Halictidae","Seladonia","Seladonia cephalica",1.28
"Halictidae","Seladonia","Seladonia confusa",1.54
"Halictidae","Seladonia","Seladonia gemmea",1.28
"Halictidae","Seladonia","Seladonia smaragdula",1.09
"Halictidae","Sphecodes","Sphecodes ephippius",1.53
"Halictidae","Sphecodes","Sphecodes geoffrellus",1.07
"Halictidae","Sphecodes","Sphecodes hirtellus",1.02
"Halictidae","Sphecodes","Sphecodes marginatus",1.01
"Halictidae","Sphecodes","Sphecodes pellucidus",1.74
"Halictidae","Sphecodes","Sphecodes ruficrus",1.56
"Megachilidae","Stelis","Stelis punctulatissima",2.58
"Megachilidae","Stelis","Stelis signata",1.99
"Halictidae","Systropha","Systropha planidens",2.12
"Apidae","Thyreus","Thyreus histrionicus",3.05
"Apidae","Thyreus","Thyreus ramosus",2.37
"Apidae","Thyreus","Thyreus truncatus",2.5
"Apidae","Trigona","Trigona fulviventris",1.4
"Apidae","Trigona","Trigona spinipes",1.8
"Apidae","Xylocopa","Xylocopa cantabrita",5.62
"Apidae","Xylocopa","Xylocopa grisescens",7.7
"Apidae","Xylocopa","Xylocopa iris",4.34
"Apidae","Xylocopa","Xylocopa violacea",6.67
"Apidae","Xylocopa","Xylocopa virginica virginica",5.64
