"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus signatus",1.63
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus variegatus",1.32
NA,NA,NA,NA,"Icteranthidium grohmanni",3.07
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum aeratum",1.08
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum albipes",1.59
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum albocinctum",2.6
NA,NA,NA,NA,"Lasioglossum anellum",1.19
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum brevicome",1.38
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum calceatum",1.77
NA,NA,NA,NA,"Lasioglossum callizonium",2.24
NA,NA,NA,NA,"Lasioglossum chalcodes",2.27
NA,NA,NA,NA,"Lasioglossum convexiusculum",1.59
NA,NA,NA,NA,"Lasioglossum crassepunctatum",1.46
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum cressonii",1.29
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum ephialtum",1.2
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum fratellum",1.45
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum fuscipenne",2.1
NA,NA,NA,NA,"Lasioglossum gorkiense",1.88
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum hitchensi",1.16
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum imitatum",0.98
NA,NA,NA,NA,"Lasioglossum immunitum",1.96
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum laticeps hellenicum",1.47
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum leucopus",1.11
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum leucozonium",1.84
NA,NA,NA,NA,"Lasioglossum limbelloides",1.31
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum limbellum",1.31
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum lineare",1.39
NA,NA,NA,NA,"Lasioglossum littorale",1.35
NA,NA,NA,NA,"Lasioglossum loetum",1.37
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum lucidulum",0.78
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum macoupinens",1.19
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum malachurum",1.57
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum marginatum",1.56
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum mediterraneum",1.61
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum mesosclerum",1.1
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum nigripes",2.15
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum nitidulum fudakowskii",1.24
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum oblongum",1.23
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum obscurum",1.17
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum occidens",2.26
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum pallens",1.56
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum pauxillum",1.18
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum politum",0.85
NA,NA,NA,NA,"Lasioglossum prasinum",1.76
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum proximatum",2.43
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum punctatissimum",1.29
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum pygmaeum patulum",1.14
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum quadrinotatum",1.59
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum scitulum",2.31
NA,NA,NA,NA,"Lasioglossum sexmaculatum",1.84
NA,NA,NA,NA,"Lasioglossum sexstrigatum",1.27
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum sordidum",1.29
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum subopacum",2.89
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum subviridatum",1.2
"Halictidae",NA,NA,"Lasioglossum","Lasioglossum tegulare",0.94
NA,NA,NA,NA,"Lasioglossum transitorium",1.24
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum villosulum",1.38
NA,NA,NA,NA,"Lasioglossum viride",1.76
"Halictidae","Halictidae",NA,"Lasioglossum","Lasioglossum zonulum",1.98
