"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"53","Agapostemon texanus","M_062","Asterales","Asteraceae","Cirsium","Cirsium","Cirsium.altissimum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"54","Agapostemon texanus","M_062","Ranunculales","Ranunculaceae","Delphinium","Delphinium","Delphinium.tricorne",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"55","Agapostemon texanus","M_062","Fabales","Fabaceae","Desmodium","Desmodium","Desmodium.canadense",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"56","Agapostemon texanus","M_062","Apiales","Apiaceae","Cicuta","Cicuta","Cicuta.maculata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"57","Agapostemon texanus","M_062","Apiales","Apiaceae","Chaerophyllum","Chaerophyllum","Chaerophyllum.procumbens",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"58","Agapostemon texanus","M_062","Cornales","Cornaceae","Cornus","Cornus","Cornus.amomum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"59","Agapostemon texanus","M_062","Fabales","Fabaceae","Astragalus","Astragalus","Astragalus.mexicanus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"60","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.turbinellus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"61","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.multiflorus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"62","Agapostemon texanus","M_062",NA,NA,NA,"Brauneria","Brauneria.pallida",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"63","Agapostemon texanus","M_062","Asterales","Asteraceae","Cirsium","Cirsium","Cirsium.discolor",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
